	id	name	popularity	duration_ms	explicit	artists	id_artists	release_date	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	time_signature
406185	1trFxVLL8WKhYap543e74l	Airplane pt.2	68	218615	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2018-05-18	0.769	0.8170000000000001	0	-4.092	0	0.0339	0.0268	9.95e-05	0.084	0.866	139.97899999999998	4
406225	38td8VabuKlQt72Q2VnhbO	134340	68	230063	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2018-05-18	0.664	0.688	11	-6.466	0	0.0543	0.153	9.14e-05	0.17300000000000001	0.65	106.022	4
406227	6ePyl2ns4b7MVYhjsj32ZK	Intro: Singularity	67	196998	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2018-05-18	0.775	0.271	1	-9.131	0	0.092	0.5539999999999999	0.00285	0.11199999999999999	0.204	104.001	3
406234	6L1rxT6NUotot2AAiLXGLj	Tear	65	284981	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2018-08-24	0.711	0.903	6	-2.7230000000000003	0	0.247	0.327	0.0	0.0887	0.467	140.015	4
406349	5XkyZyKMdFungjDb9cUKc3	A Brand New Day (BTS World Original Soundtrack) [Pt. 2]	66	205020	0	['BTS', 'Zara Larsson']	['3Nrfpe0tUJi4K4DXYWgMUX', '1Xylc3o4UrD53lo9CvFvVg']	2019-06-14	0.804	0.498	8	-7.3870000000000005	0	0.0571	0.33899999999999997	0.000236	0.18	0.7040000000000001	105.008	4
406447	2Nib4r0saYQf2pUV4RFDhl	Interlude : Shadow	70	259821	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2020-02-21	0.385	0.7979999999999999	9	-6.439	0	0.483	0.115	0.0	0.18100000000000002	0.141	149.756	4
406454	5oXdWFCLkBX5XmGbTrlK40	Jamais Vu	68	227275	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2020-02-21	0.608	0.47	8	-6.73	1	0.0428	0.226	0.0	0.0963	0.24100000000000002	81.0	4
406469	37TSJmYKLxXmx8OehFpqMN	Respect	69	237540	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2020-02-21	0.6609999999999999	0.84	0	-4.805	1	0.11599999999999999	0.00485	0.0	0.287	0.524	91.45700000000001	4
479009	5LbP0hX0ek03JornvxLVxO	Mntp	55	146671	1	['Baby J & MLSHBTS', 'Pikette23']	['3AuVD85Q1DtjeJTEzlaMBF', '4Fl8dEtJlmvFkYb4HZr8Fi']	2019-03-17	0.784	0.377	5	-9.301	0	0.257	0.669	0.000443	0.129	0.843	80.884	4
530167	5XQjspYTlLobTIWdWjJ3Jj	BTS Cypher Pt.2: Triptych	57	288771	0	['BTS']	['3Nrfpe0tUJi4K4DXYWgMUX']	2014-02-12	0.585	0.98	5	-0.826	1	0.37	0.127	0.0	0.6920000000000001	0.8370000000000001	141.945	4
